Comment,Category,Keyword
Não gostei ! Comprei gato por lebre,Qualidade,propaganda enganosa
"Sempre compro pela Internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo máximo. No stark o prazo máximo já se esgotou e ainda não recebi o produto.",Pedido Errado,cor
recebi somente 1 controle Midea Split ESTILO. Faltou Controle Remoto para Ar Condicionado Consul,Pedido Errado,faltou
"O produto não chegou no prazo estipulado e causou transtorno, pq programei a viagem de férias do meu filho, baseado no prazo. Moro na Bahia e ele em Cuiabá sozinho. Agora, a casa está vazia.",Logística,prazo
"Produto muito inferior, mal acabado.",Qualidade,qualidade
Pedi reembolso e sem resposta até momento,Atendimento,comunicação
"Este foi o pedido Balde Com 128 Peças - Blocos De Montar 2 un - R$ 25,00 cada (NÃO FOI ENTREGUE) Vendido e entregue targaryen Tapete de Eva Nº Letras 36 Peças Crianças 1 un - R$ 35,90 (ESTE FOI ENTREG",Logística,status entrega
comprei tres pacotes de cinco folhas cada de papel transfer para tecido escuro e so recebi dois,Logística,recebimento
Não funciona não faz sincronismo,Qualidade,funcionalidade
"Chegou apenas uma peça, mas na nota e na garantia constam as duas joias.",Pedido Errado,quantidade
EU NÃO RECEBI O PRODUTO E CONSTA NO SISTEMA QUE EU RECEBI ALÉM DE PAGAR CARO DO FRETE,Logística,recebimento
"Comprei o relógio, unissex e enviaram um relógio feminino, bem menor que as especificações do anúncio.",Qualidade,anúncio
Comprei o produto dia 25 de fevereiro e hoje dia 29 de marco não fora entregue na minha residência. Não sei se os correios desse Brasil e péssimo ou foi a própria loja que demorou postar.,Pedido Errado,cor
fiz minha compra faz 30 dias e não recebi ainda meu produto. Precisa melhorar nas entregas,Logística,entrega
Faltou 1 produto e os que recebi 1 veio quebrado,Pedido Errado,faltou
aqui está descrevendo como entregue só que ate agora não recebi,Logística,status entrega
"Não posso! Estou aguardando a chegada do produto que comprei!Logo que isso aconteça, terei minha opinião formada!",Logística,espera
Comprei dois produtos e recebi somente um. Mandei dois emails para a loja e não tive nenhum retorno. Estou insatisfeita.,Pedido Errado,quantidade
"Demora na entrega, detestei o atendimento e NUNCA mais compro. baratheon quando vendia por eles mesmos era bem melhor!",Atendimento,atendimento
o meu produto não chegou... segundo o rastreio está parado em Ribeirão Preto sp...,Pedido Errado,cor
produto deu defeito na 1 vez de uso.,Qualidade,defeito
até agora não recebi o produto.,Logística,recebimento
A loja anuncia um produto e entrega outro.,Pedido Errado,produto diferente
produto foi entregue com umas das alças com problemas (está faltando 1 pino de fixação),Pedido Errado,faltando
"Recebi bem rápido, porém veio outro produto, e não o que eu pedi, o modelo veio diferente, a cor, veio uma capinha que não tem zíper, enfim, não recomendo.",Pedido Errado,quantidade
"Cancelaram a minha compra um dia antes da entrega, liguei para a lannister e os atendentes não sabiam o que estava acontecendo, uma bagunça, agora estou esperando para ver se vai ser cobrado",Logística,entrega
o acabento que estava na foto era bonito a que chegou foi de um sintetico feio com um acabento todo borrado orrivel nao gostei,Qualidade,diferente da foto
E muito desordenado comprei três produtos mais não veio no dia sertões veio separado e em data separada,Outros,comprei
Produto não recomendo não ler em nenhum dispositivo,Outros,análise inconclusiva
"Tentando cancelar o produto desde antes da emissão da nota fiscal. Não fui avisada que estava no correio, não tive nenhuma resposta do cancelamento e nao consigo devolver.",Pedido Errado,cor
"Boa Noite  é lamentável, esta loja que tantas compras eu ja fiz e hoje não me da satisfação sequer de um relógio na importância de 50,00 reais ... um produto com defeito e até agora não me deu retor",Qualidade,defeito
"Última vez que compro pois hoje vai fazer 1 mês que fiz a comprar e nada, e se demorar mas tempo de entregar estarei procurando meus direitos contra as lojas lannister e a targaryen.",Logística,atraso
"Não gostei do produto, material de péssima qualidade.",Qualidade,material
"Dos dois produtos comprados, foi entregue apenas um!",Pedido Errado,quantidade
Nao compro mais na lannister. Se é parceiro da lannister ou não essa targaryen jamais uso novamente. Quando eu ler que é dessa empresa saio correndo. Um absurdo. Quase um mês para entregar. Extra.com ok,Pedido Errado,cor
"O MP3 player não funciona, mesmo trocando a pilha diversas vezes. Tive que devolver.",Qualidade,funcionalidade
A targaryen não é de confiança não entregou a minha compra e colocou no rastreamento do pedido que foi entregue no dia 14/12/17 empresa falsa quero receber meus produtos que foram pagos com boleto bancari,Logística,status entrega
"Quando instalei o cartucho de tinta, a minha impressora indicou que o mesmo estava vazio, e apresentou a mensagem de erro ""!"" em cima do marcador de nível da tinta. Já solicitei a troca.",Atendimento,mensagem
Não foram entregue as duas capas de couro compradas. Apenas uma delas. Aguardo a devolução do dinheiro ou a entrega da segunda capa.,Pedido Errado,quantidade
No dia 19 de maio usei e a à alça quebrou sem muito peso,Outros,análise inconclusiva
"Comprei um produto e veio outro. Mandei msg informando o erro , porém não obtive resposta. Obrigado",Pedido Errado,produto diferente
o produto demora muita para chegar !,Logística,atraso
"Somente foi entregue uma unidade, ao invés de duas.",Pedido Errado,quantidade
"Até agora nao recebi.Comprei este aparelho por questao de saude,portanto nao recomendo esta loja.",Logística,recebimento
"Gostaria de saber quando chegará meu produto? Pois já se passou a data prevista para entrega , gostaria de uma resposta estou aguardando!",Atendimento,comunicação
O produto entregue difere do pedido trata-se de um produto inferior! Gostaria que fosse solucionado o problema! Não estou satisfeito com procedimento!,Qualidade,qualidade
"Não recebi o produto, assim como nenhum contato por parte do .vendedor",Atendimento,vendedor
Nem ratrear estou conseguindo:(,Outros,análise inconclusiva
veio conforme o pedido mais o pós venda não respondeu nenhuma das minhas perguntas,Outros,análise inconclusiva
"Comprei duas mochilas, recebi apenas uma, o natal está chegando e até agora nada!",Pedido Errado,quantidade
"Os pincéis vieram amassados, não condiz com algumas fotos, mas condiz com a descrição. São fracos, não cabem na case e um veio descolado",Qualidade,diferente da foto
"O produto veio diferente da q mostra na foto, não é de luxo, nem acolchoado como dizia.",Qualidade,diferente da foto
"Estou aguardando uma resposta até hoje, sobre os meus produtos, já foram pagos e ainda NÃO os recebi, foram 03 iguais e necessito falar com pessoas e NÃO máquina ou gravações.",Atendimento,comunicação
"Gostaria de receber os produtos corretos, tentei realizar a troca pela devolução de dinheiro no cartão, mas o site da lannister não possibilita que seja realizado.",Pedido Errado,cor
"meu produto veio com defeito,devolvi conforme informado.postado no correio conforme indicado.e até hoje não recebi nenhuma notificação da empresa quanto a devolução e análise para ter meuressarcimento",Pedido Errado,cor
Só recebemos 1 cartucho já abrimos reclamação no site e ainda não obtive resposta.,Atendimento,comunicação
O tampo da mesa chegou todo amassado e batido.,Logística,chegada
Até o momento eu n recebir o produto,Logística,recebimento
Muito bom o produto e preço cobrado!,Outros,análise inconclusiva
No aguardo de um retorno urgente.,Outros,análise inconclusiva
"Produto mais que passou do prazo de entregar, tento resolver o problema com a empresa e não consigo falar com ninguém. Tudo que fazem é me passar para reclamar num sistema que não funciona.",Qualidade,funcionalidade
Deram um prazo muito grande para a entrega do produto e não conseguiram entregar no prazo,Logística,prazo
"comprei tapete de borracha para tr4 mitsubishi a loja entregou um tapete de pvc horrivel no titulo ta tapete borracha tr4, me enganaram e agora o que fazer sendo que tem despesa para devoluçao, por",Outros,loja
"MEU PRODUTO AINDA NÃO FOI ENTREGUE, JÁ FIZ MINHA RECLAMAÇÃO E ATÉ AGORA NÃO TIVE NENHUMA PREVISÃO DE ENTREGA. ESTOU SUPER INSATISFEITO E QUERO MEU DINHEIRO DE VOLTA. FOI DENUNCIAR AO PROCON.",Atendimento,financeiro
A cortina não é o modelo que pedi. |,Pedido Errado,cor
Comprei Rosa com Braços Brancos e entregam toda Preta ?,Pedido Errado,cor
"Recebi outra boneca, quero devolver e não consigo contato! Jamais compraria novamente dessa loja!",Atendimento,contato
"Boa noite , não gostei pois nunca conseguimos falar com vcs pelo telefone",Atendimento,comunicação
Não recebi o jogo na cor tabaco. Só o vermelho.,Pedido Errado,cor
"Nao foi entregue na minha casa , por isso nao gostei , nao tenho tempo de esta indo nos correios..",Pedido Errado,cor
"Minha mercadoria não foi entregue , já paguei a primeira fatura quero cancelar a compra pois paguei o frete e não recebi a mercadoria.",Logística,status entrega
PRODUTO JA CHEGOU COM DEFEITO NÃO FUCIONOU CONFORME MINHA NECESSIDADE DE USO. INFELIZMENTE ULTIMA COMPRA MINHA TOTALMENTE INSATISFEITO.,Qualidade,defeito
COMPREI DOIS PENDENTES SÓ CHEGOU UM. PRECISO SABER O QUE FOI QUE HOUVE?,Logística,chegada
Produto veio com amassados e também não está funcionando corretamente.,Pedido Errado,cor
Estou esperando há mais de vinte dias e ainda não recebi meu produto e não consigo nenhuma informação.,Logística,recebimento
Estou aguardando posição da empresa para fazer a devolução do produto.,Atendimento,devolução
fornecedor não enviou o produto correto. solicitei o sabor chocolate e me foi enviado outro sabor.,Pedido Errado,produto diferente
Comprei 2 produtos so mandaram 1 e n mim deram nenhuma justificativa !,Outros,comprei
O produto foi encaminhado para cidade de destino no dia 31/03 e até o momento não recebi.,Logística,recebimento
Simplesmente não recebi meu produto e nao tenho um posicionamento decente do que acontecerá.,Logística,recebimento
"Não recebi o braço de ducha com desviador, somente a ducha 20x20 com braço de 30cm.",Logística,recebimento
O produto pode estar com mal funcionamento. Ou o meu telefone não está conseguindo fazer a leitura.,Qualidade,funcionalidade
Loja sem vergonha. Não entregaram o pedido e tiveram a descaração de duErem que eu o cancelei. Porcaria de vendedor. stark escolheu muito mal o seu paeceiro.,Atendimento,vendedor
PRODUTO NÃO VEIO CONFORME ESTAVA NO SITE . MOSTRAVA CALENDÁRIO SITE MAS QUANDO RECEBI VEIO SEM E ESTA DIFÍCIL PARA FAZER A TROCA E ESTORNO DO PRODUTO,Atendimento,financeiro
"Comprei dois produtos, sendo que um deles não chegou. Um cabo adaptador de áudio.",Logística,chegada
"Fornecedor targaryen me mandou um massageador completamente diferente do que comprei, de preço inferior e cheio de avaliações negativas. Ninguém erra mandando um superior né, curioso..Ou seja, n recomendo",Qualidade,qualidade
"Muito ruim, não veio um produto e o outro veio errado..",Pedido Errado,quantidade
"ABRI PROTOCOLO PARA DEVOLUÇÃO, PRODUTO DE BAIXA QUALIDADE DEU PROBLEMA NO PRIMEIRO DIA DE USO.  lannister VIROU UM MERCADO LIVRE....6 PEDIDOS 6 PROBLEMAS",Atendimento,protocolo
A mercadoria não foi entregue ainda..,Logística,status entrega
Eu pedi q cancelacem antes da nf ser emitida pq eu havia ganhado de presente um igual... não cancelaram... mandaram assim msm... eu pedi quando a nf ainda não tinha sido emitida,Outros,análise inconclusiva
"preciso urgente desta mercadoria, o prazo maximo era até o dia 3 e até agora não chegou",Logística,prazo
"Produto com defeito apresenta risco por não ser confiável, já eviei e-mail e efetuei ligações e sem retorno.",Qualidade,defeito
"a descrição do produto estava errada e não consegui usar o produto ,pedi o cancelamento fazem 15 dias e ainda não obtive resposta",Atendimento,comunicação
Sem pontualidade não da satisfação ao cliente.,Outros,análise inconclusiva
meu mosquiteiro veio com dois furos na parte superior e pedir um mosquiteiro King porem nao veio Kiung e sim QUEEM,Outros,análise inconclusiva
me foi enviado o produto errado!,Pedido Errado,produto errado
Efetuei a compra e pagamento de duas unidades e recebi apenas uma unidade. Aguardando tratativa.,Pedido Errado,quantidade
"Não foi entregue, a primeira vez que acontece isso.",Logística,status entrega
"Comprei 2 unidades do produto, veio avariado visto que a embalagem é muito fraca, sendo que veio com dois buracos no fundo da panela, devido a pressão que dog colocado em cima dele.",Pedido Errado,quantidade
Pedido foi cancelado e mesmo assim a loja enviou o produto. Devolvi o produto e quero o estorno da compra em meu cartão de crédito.,Atendimento,financeiro
COMPREI UM JOGO DE PANELAS COM 8 PANELAS E UMA PANELA DE PRESSÃO VERMELHO E PANELAS DO TIPO OVAL. RECEBI UM JOGO COM 6 PANELAS E JOGO DE ESPÁTULAS PRETOS. COISA QUE NÃO PEDI. VEIO APENAS UMA FRIDEIRA.,Pedido Errado,quantidade
Não gostei da qualidade do enchimento das almofadas,Outros,análise inconclusiva
Quero saber dos demais produtos eram 3 itens,Outros,análise inconclusiva
"Não posso dar opinião sobre produto pois não recebi, sobre a loja eu não recomendo, pois atrasa as entregas.",Logística,entrega
"Boa tarde!  Tive problemas com meu pedido sim!  Veio o mosqueteiro errado.  Pedi um de tamanho Queen, que arrastasse até o chão e com o círculo em cima bem grande. Veio pequeno de cama de casal nor",Pedido Errado,produto errado
"ENTREGA MUITO DEMORADA, COMPREI EM 26/03/2018 E ATÉ AGORA NÃO RECEBI OS PRODUTOS",Logística,atraso
"NÃO RECEBI O PRODUTO, O PRODUTO CONSTA COMO ENVIADO PARA O CORREIO DE RIBEIRÃO PRETO. O CORREIO NÃO RECEBEU O PRODUTO. ENVIE VARIAS MENSAGEM PARA A targaryen E NÃO OBTIVE. ESTA targaryen ESTA SUJANDO SEU NOME",Pedido Errado,cor
